No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren
148,24/02/2025,2025,PT AGM Plastic Industry,Manufaktur produk plastik industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp162.883.584.601,,Rp10.887.807.516
149,03/06/2025,2025,PT Primatama Energi Nusantara,Jasa kontraktor di sektor energi,Surabaya,Energi,Bukan Tbk,,Disclosed,Rp86.689.095.854,,Rp87.473.446.364
150,30/06/2025,2025,PT ECOS JAYA INDONESIA,Jasa kebersihan lingkungan dan pengelolaan limbah,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp6.056.708.770,,
151,19/12/2025,2025,PT. Royal Medica Mencirim,Layanan kesehatan dan klinik,Medan,Kesehatan,Bukan Tbk,,Undisclosed,,,
152,11/12/2025,2025,PT MEWAH NIAGAJAYA,Perdagangan dan distribusi makanan/minuman,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
153,21/07/2025,2025,PT Aero Multi Karya,Jasa teknis penerbangan dan ground handling,Makassar,Perindustrian,Bukan Tbk,,Disclosed,Rp3.051.812.500,,Rp66.734.863.000
154,30/09/2025,2025,PT. CARDIG AIR,Jasa kargo dan logistik udara,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,,,Rp49.619.424.624
155,28/05/2025,2025,PT Ubin Keramik Kemenangan Jaya,Manufaktur dan perdagangan keramik lantai,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp33.789.437.608,Rp57.391.927.979,Rp104.370.622.093
156,12/11/2025,2025,PT FIT & HEALTH INDONESIA,Layanan kesehatan dan kebugaran,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,
157,14/04/2025,2025,PT. Tribara Karya,Kontraktor konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp15.496.680.422,,Rp40.549.368.304
158,19/06/2025,2025,PT KREATUR PERFORMA SINERGI,Agensi kreatif dan teknologi,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,Rp4.121.324.355,Rp7.227.181.364,Rp7.073.933.172
159,08/10/2025,2025,PT Brow Bros Lombok,Jasa perawatan kecantikan dan grooming,Surabaya,Konsumen non primer,Bukan Tbk,,Disclosed,,,Rp1.439.109.000
160,17/02/2025,2025,PT Handal Aluminium Sukses,Manufaktur dan distribusi produk aluminium,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,Rp138.029.511.342,,Rp29.258.639.252
161,24/02/2025,2025,PT Mantari Pipa Perkasa Industry,Manufaktur pipa industri,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
162,07/01/2025,2025,PT KELSRI,Kontraktor konstruksi dan rekayasa,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp11.004.781.349,,Rp262.830.058.906
163,25/06/2025,2025,PT UNIVERSE DESIGN INDONESIA,Desain dan dekorasi interior,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Disclosed,Rp12.729.712.422,Rp3.816.940.068,Rp16.152.585.834
164,26/09/2025,2025,CV CAHAYA ILUFA,Perdagangan & jasa pengadaan barang,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,
165,26/05/2025,2025,PT AMINCO JAYA PRATAMA,Jasa konstruksi & engineering,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
166,03/02/2025,2025,PT Sibadihon Sawitta Torop Lestari,Perkebunan kelapa sawit,Medan,Bahan baku,Bukan Tbk,,Disclosed,Rp1.500.000.000,,Rp6.453.462.629
167,17/02/2025,2025,Sahabat Farma,Distribusi farmasi dan alat kesehatan,Makassar,Kesehatan,Bukan Tbk,,Disclosed,Rp757.466.950,,
168,23/07/2025,2025,PT. BINTANG SINAR PERSADA,Perdagangan umum dan konstruksi,Makassar,Properti & real estate,Bukan Tbk,,Undisclosed,,,
169,31/01/2025,2025,PT Buana Niaga Perkasa,Perdagangan umum dan distribusi,Medan,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
170,08/10/2025,2025,PT Ceria Alam Sentosa,Pertambangan mineral & SDA,Makassar,Bahan baku,Bukan Tbk,,Undisclosed,,,
171,08/12/2025,2025,PT. Sudiro Tungga Jaya,Distribusi suku cadang otomotif,Surabaya,Transportasi,Bukan Tbk,,Undisclosed,,,
172,23/01/2025,2025,PT. ARMINDO CATUR PRATAMA,"Industri & konstruksi baja (pipa, guardrail, tower)",Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0
173,06/05/2025,2025,PT IRAWAN PRIMA UTAMA,Kontraktor umum & fabrikasi baja — bangunan industri,Medan,Infrastruktur,Bukan Tbk,,Disclosed,Rp532.000.000,Rp0,Rp0
174,03/02/2025,2025,PT. JAYA ALAM PERSADA,Perdagangan umum dan jasa,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
175,31/12/2025,2025,PT Mitra Pembangunan Global,Kontraktor konstruksi dan pembangunan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
176,10/03/2025,2025,PT. Kertas Trinitra Mandiri,Manufaktur dan produksi kertas,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
177,24/02/2025,2025,PT EMKA BESCHLAGTEILE PACIFIC (dahulu PT SELECTRIX INDONESIA),Manufaktur dan distribusi aksesoris bangunan/furnitur,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
178,09/10/2025,2025,PT. ANNAPURNA JAYA AGUNG,Distribusi produk konsumen & FMCG,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
179,29/08/2025,2025,"PT Sejahtera Bintang Abadi Textile, Tbk",Manufaktur tekstil dan produk benang,Jakarta Pusat,Perindustrian,Tbk,,Undisclosed,,,
180,30/09/2025,2025,PT Chakra Giri Energi Indonesia,Kontraktor dan jasa sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,Rp1.559.550.000,Rp0,Rp0
181,19/08/2025,2025,PT MALINDO MANDIRI MAKMUR,Peternakan ayam dan produk peternakan,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,Rp40.643.585.077,Rp0,Rp0
182,22/04/2025,2025,PT BODDIA JAYA,Perikanan dan budidaya laut,Makassar,Bahan baku,Bukan Tbk,,Disclosed,Rp3.077.666.569,Rp0,Rp0
183,10/12/2025,2025,PT Fazar Utama Abadi,Jasa konstruksi & pengadaan,Surabaya,Infrastruktur,Bukan Tbk,,Disclosed,Rp622.659.910,Rp0,Rp0
184,28/05/2025,2025,PT Hutama Karya (Persero) C.q. Divisi EPC,"Engineering, Procurement & Construction (EPC)",Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0
185,29/05/2025,2025,PT Euroasiatic Head & Power System,Jasa teknik kelistrikan dan sistem daya,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0
186,30/05/2025,2025,Uttam Sucrotech PVT Limitted,Teknologi dan solusi industri gula,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0
187,24/04/2025,2025,PT. SUSILO JAYA PRATAMA,Perdagangan umum,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
188,15/04/2025,2025,PT. Lautan Grahamas,Perdagangan dan distribusi bahan kimia,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
189,28/07/2025,2025,PT AZHARINDO UTAMA,Konstruksi bangunan,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,
190,06/10/2025,2025,"PT INTI BUMI PERKASA diwakili oleh Drs. DODY DRADJAT, MM",Pertambangan & pengelolaan SDA,Bandung,Bahan baku,Bukan Tbk,,Undisclosed,,,
191,16/09/2025,2025,PT. Semen Kupang (PERSERO),Semen,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,Rp401.306.333,Rp0,Rp0
192,24/09/2025,2025,PT Artha Mahiya Investama Tbk,Investasi keuangan,Jakarta Pusat,Keuangan,Tbk,,Undisclosed,,,
193,02/01/2025,2025,PT BANGUN KARYA PERSADA NUSANTARA,Kontraktor lahan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp12.988.872.658,,Rp17.325.004.859
194,11/09/2025,2025,PT ADHI PERSADA GEDUNG,Jasa Konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
195,18/06/2025,2025,PT CITRALOKA BUMI BEGAWAN,Perkebunan Kelapa Sawit,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
